title,genre,author,time,total_chars,total_function_words,total_function_words_frequency,fraction_function_words_at_end,也_count,哉_count,乎_count,兮_count,夫_count,焉_count,耶_count,者_count,矣_count,耳_count,邪_count,也_frequency,哉_frequency,乎_frequency,兮_frequency,夫_frequency,焉_frequency,耶_frequency,者_frequency,矣_frequency,耳_frequency,邪_frequency,也_fraction_at_end,哉_fraction_at_end,乎_fraction_at_end,兮_fraction_at_end,夫_fraction_at_end,焉_fraction_at_end,耶_fraction_at_end,者_fraction_at_end,矣_fraction_at_end,耳_fraction_at_end,邪_fraction_at_end
六韬,哲学,姜子牙,战国,21295.0,582.0,0.02193003052359709,0.802405498281787,199.0,41.0,17.0,0.0,21.0,3.0,1.0,277.0,12.0,8.0,3.0,0.009250997886827894,0.001831415825311106,0.0006574313219065509,0.0,0.0,0.0001408781404085466,4.6959380136182205e-05,0.009391876027236441,0.0005635125616341864,4.6959380136182205e-05,0.0,0.9899497487437185,0.9512195121951219,0.8235294117647058,0.0,0.0,1.0,1.0,0.7220216606498195,1.0,0.125,0.0
庄子,哲学,庄周,战国,80420.0,5144.0,0.042153693111166374,0.6590202177293935,1690.0,142.0,827.0,2.0,444.0,201.0,2.0,1168.0,453.0,52.0,163.0,0.018378512807759265,0.001641382740611788,0.004712758020392937,1.2434717731907486e-05,0.00038547624968913205,0.0018403382243223079,2.4869435463814973e-05,0.007336483461825417,0.005521014672966924,0.0003357373787615021,0.0019646854016413828,0.8745562130177514,0.9295774647887324,0.45828295042321643,0.5,0.06981981981981981,0.736318407960199,1.0,0.5051369863013698,0.9801324503311258,0.5192307692307693,0.9693251533742331
墨子,哲学,墨子及弟子,战国,96577.0,4984.0,0.03546393033538006,0.687199036918138,2133.0,131.0,296.0,0.0,228.0,164.0,1.0,1655.0,285.0,55.0,36.0,0.020895244209283785,0.0013150128912681072,0.0011804052724768838,0.0,0.0001656709154353521,0.0012425318657651408,1.0354432214709506e-05,0.007424127897946716,0.0028474688590451143,9.318988993238556e-05,0.0002899241020118662,0.9460853258321613,0.9694656488549618,0.38513513513513514,0.0,0.07017543859649122,0.7317073170731707,1.0,0.43323262839879156,0.9649122807017544,0.16363636363636364,0.7777777777777778
老子,哲学,老子,春秋,6756.0,220.0,0.014949674363528715,0.4590909090909091,18.0,7.0,10.0,28.0,31.0,12.0,1.0,96.0,11.0,2.0,4.0,0.0016281823564239194,0.0010361160449970396,0.0013321492007104796,0.0013321492007104796,0.00014801657785671994,0.0011841326228537595,0.00014801657785671994,0.006068679692125518,0.0014801657785671995,0.0,0.0005920663114268798,0.6111111111111112,1.0,0.9,0.32142857142857145,0.03225806451612903,0.6666666666666666,1.0,0.4270833333333333,0.9090909090909091,0.0,1.0
荀子,哲学,荀子及弟子,战国,91311.0,6076.0,0.04601855198168895,0.6915734035549703,2694.0,112.0,242.0,24.0,383.0,271.0,0.0,1641.0,543.0,73.0,93.0,0.028134616858866947,0.0012046741356463078,0.0007666108135931049,0.0001095158305133007,0.0002847411593345818,0.0023764935221386252,0.0,0.006592852996900702,0.005607210522280996,0.000317595908488572,0.000624240233925814,0.9536005939123979,0.9821428571428571,0.2892561983471074,0.4166666666666667,0.06788511749347259,0.8007380073800738,0.0,0.3668494820231566,0.9429097605893186,0.3972602739726027,0.6129032258064516
韩非子,哲学,韩非子,战国,129848.0,6495.0,0.03592662189637114,0.7182448036951501,2933.0,60.0,256.0,2.0,484.0,127.0,10.0,1983.0,535.0,57.0,48.0,0.02154057051321545,0.00045437742591337564,0.0014170414638654428,0.0,0.00013862362146509766,0.0007932351672725032,7.701312303616537e-05,0.0070621033824163635,0.00411250077013123,0.00022333805680487955,0.00010781837225063151,0.9536310944425503,0.9833333333333333,0.71875,0.0,0.0371900826446281,0.8110236220472441,1.0,0.46243066061522947,0.9981308411214953,0.5087719298245614,0.2916666666666667
中论,哲学,徐干,汉,34217.0,1722.0,0.029517491305491424,0.586527293844367,722.0,51.0,208.0,5.0,126.0,59.0,6.0,401.0,110.0,23.0,11.0,0.01741824239413157,0.0012859105123184382,0.0017242890960633603,0.0001461261945816407,0.000204576672414297,0.0014320367069000789,0.00017535143349796885,0.004179209165034924,0.0025425957857205484,0.00037992810591226585,2.922523891632814e-05,0.8254847645429363,0.8627450980392157,0.28365384615384615,1.0,0.05555555555555555,0.8305084745762712,1.0,0.3566084788029925,0.7909090909090909,0.5652173913043478,0.09090909090909091
淮南子,哲学,刘安及其门客,汉,158536.0,7616.0,0.03322273805318666,0.6915703781512605,3079.0,78.0,272.0,26.0,537.0,190.0,2.0,2674.0,564.0,117.0,77.0,0.019036685673916334,0.00047307866982893476,0.0008515416056920826,8.830801836806782e-05,6.938487157491043e-05,0.001009234495635061,1.2615431195438261e-05,0.007726951607205934,0.003538628450320432,0.00022707776151788869,0.0001892314679315739,0.9801883728483274,0.9615384615384616,0.4963235294117647,0.5384615384615384,0.020484171322160148,0.8421052631578947,1.0,0.4581151832460733,0.9946808510638298,0.3076923076923077,0.38961038961038963
抱朴子,哲学,葛洪,晋,182713.0,7482.0,0.028678857005248668,0.7003475006682706,2387.0,258.0,730.0,4.0,500.0,279.0,12.0,2341.0,530.0,334.0,107.0,0.012790551301768347,0.0011986010847613471,0.0016528654228215836,1.0946128627957508e-05,0.00019703031530323513,0.0013682660784946883,6.567677176774505e-05,0.0068796418426712936,0.0028459934432689517,0.0014613081718323272,0.00020797644393119263,0.9790532048596565,0.8488372093023255,0.4136986301369863,0.5,0.072,0.8960573476702509,1.0,0.5369500213583939,0.9811320754716981,0.7994011976047904,0.35514018691588783
颜氏家训,哲学,颜之推,南北朝,19481.0,646.0,0.025204044966890816,0.760061919504644,216.0,24.0,33.0,0.0,53.0,37.0,4.0,167.0,53.0,45.0,14.0,0.01047174169703814,0.001129305477131564,0.0013859658128432832,0.0,0.00035932446999640676,0.0012319696114162517,0.0002053282685693753,0.0053385349828037575,0.0026692674914018787,0.002053282685693753,0.00035932446999640676,0.9444444444444444,0.9166666666666666,0.8181818181818182,0.0,0.1320754716981132,0.6486486486486487,1.0,0.6227544910179641,0.9811320754716981,0.8888888888888888,0.5
